actor,name,year,variable,type,BirthYear,gender,age
MC石头,屌丝男士 第二季,2013,actor5,drama,1988,男,25
艾伟,一米阳光,2004,actor5,drama,1955,男,49
安宁,毛骗 第一季,2010,actor1,drama,1987,女,23
安宁,毛骗 第二季,2011,actor2,drama,1987,女,24
安宁,毛骗 终结篇,2015,actor3,drama,1987,女,28
安以轩,仙剑奇侠传,2005,actor3,drama,1980,女,25
安以轩,仙剑奇侠传,2005,actor3,drama,1980,女,25
安泽豪,真情告白,1999,actor5,drama,1979,男,20
白百何,与青春有关的日子,2006,actor5,drama,1984,女,22
白百何,浮沉,2012,actor3,drama,1984,女,28
白百何,家，N次方,2011,actor4,drama,1984,女,27
白冰,神话,2010,actor2,drama,1986,女,24
白冰,红楼梦,2010,actor2,drama,1986,女,24
白冰冰,双响炮,2004,actor5,drama,1955,女,49
白敬亭,匆匆那年,2014,actor3,drama,1993,男,21
白宇,微微一笑很倾城,2016,actor4,drama,1990,男,26
百克力,杉杉来了,2014,actor3,drama,1986,男,28
保剑锋,十八岁的天空,2002,actor1,drama,1975,男,27
保剑锋,至尊红颜,2003,actor5,drama,1975,男,28
保剑锋,又见一帘幽梦,2007,actor4,drama,1975,男,32
鲍大志,地下交通站,2007,actor2,drama,1946,男,61
鲍蕾,刁蛮公主,2006,actor3,drama,1976,女,30
蔡明,闲人马大姐,2000,actor1,drama,1961,女,39
蔡少芬,水月洞天,2004,actor2,drama,1973,女,31
蔡少芬,后宫·甄嬛传,2011,actor3,drama,1973,女,38
蔡文静,匆匆那年,2014,actor5,drama,1990,女,24
曹骏,莲花童子哪吒,1999,actor1,drama,1988,男,11
曹骏,侠女闯天关,2000,actor5,drama,1988,男,12
曹骏,宝莲灯,2005,actor1,drama,1988,男,17
曹荣,西游记后传,2000,actor1,drama,1962,男,38
曹卫宇,不要和陌生人说话,2001,actor5,drama,1972,男,29
曾红生,天道,2008,actor3,drama,1958,男,50
曾黎,男才女貌,2003,actor4,drama,1978,女,25
常景如,与青春有关的日子,2006,actor2,drama,NA,女,NA
常戎,余罪 第二季,2016,actor3,drama,1962,男,54
常戎,余罪 第一季,2016,actor3,drama,1962,男,54
陈宝国,京华烟云,2005,actor4,drama,1956,男,49
陈宝国,汉武大帝,2005,actor1,drama,1956,男,49
陈宝国,大明王朝1566,2007,actor1,drama,1956,男,51
陈宝国,大宅门,2001,actor3,drama,1956,男,45
陈宝国,北平无战事,2014,actor2,drama,1956,男,58
陈创,魔幻手机,2008,actor2,drama,1974,男,34
陈道明,大汉天子,2002,actor1,drama,1955,男,47
陈道明,少年包青天,2000,actor5,drama,1955,男,45
陈道明,中国式离婚,2004,actor1,drama,1955,男,49
陈道明,我们无处安放的青春,2007,actor1,drama,1955,男,52
陈道明,康熙王朝,2001,actor2,drama,1955,男,46
陈德容,绝代双骄,1999,actor3,drama,1974,女,25
陈法蓉,水月洞天,2004,actor4,drama,1967,女,37
陈好,双响炮,2004,actor2,drama,1979,女,25
陈好,粉红女郎,2003,actor3,drama,1979,女,24
陈赫,爱情公寓3,2012,actor2,drama,1985,男,27
陈赫,爱情公寓,2009,actor4,drama,1985,男,24
陈赫,爱情公寓4,2014,actor2,drama,1985,男,29
陈红,春光灿烂猪八戒,2000,actor5,drama,1968,女,32
陈红,大明宫词,2000,actor1,drama,1968,女,32
陈慧珊,杜拉拉升职记,2010,actor4,drama,1971,女,39
陈建斌,三国,2010,actor1,drama,1970,男,40
陈建斌,乔家大院,2006,actor1,drama,1970,男,36
陈建斌,后宫·甄嬛传,2011,actor2,drama,1970,男,41
陈键锋,美人心计,2010,actor4,drama,1978,男,32
陈俊生,白发魔女,1999,actor3,drama,1967,男,32
陈坤,别了，温哥华,2004,actor2,drama,1976,男,28
陈坤,金粉世家,2003,actor1,drama,1976,男,27
陈坤,像雾像雨又像风,2001,actor1,drama,1976,男,25
陈坤,天盛长歌,2018,actor1,drama,1976,男,42
陈龙,琅琊榜,2015,actor4,drama,1976,男,39
陈乔恩,鬼吹灯之精绝古城,2016,actor2,drama,1979,女,37
陈乔恩,笑傲江湖,2013,actor2,drama,1979,女,34
陈莎莉,大汉天子,2002,actor2,drama,1948,女,54
陈数,夫妻那些事,2012,actor2,drama,1977,女,35
陈数,和平饭店,2018,actor1,drama,1977,女,41
陈数,相思树,2008,actor4,drama,1977,女,31
陈思诚,北京爱情故事,2012,actor1,drama,1978,男,34
陈思诚,士兵突击,2006,actor2,drama,1978,男,28
陈天文,莲花童子哪吒,1999,actor5,drama,1963,男,36
陈伟霆,老九门,2016,actor1,drama,1985,男,31
陈晓,笑傲江湖,2013,actor4,drama,1987,男,26
陈晓,陆贞传奇,2013,actor2,drama,1987,男,26
陈晓东,兰陵王,2013,actor3,drama,1975,男,38
陈秀丽,刁蛮公主,2006,actor5,drama,1977,女,29
陈瑶,无心法师,2015,actor3,drama,1994,女,21
陈芋米,河神,2017,actor4,drama,1992,女,25
陈钰琪,香蜜沉沉烬如霜,2018,actor3,drama,1997,女,21
陈昭荣,双响炮,2004,actor4,drama,1968,男,36
陈至恺,转角遇到爱,2007,actor3,drama,1981,男,26
陈紫函,神雕侠侣,2006,actor3,drama,1978,女,28
陈紫函,神话,2010,actor5,drama,1978,女,32
成建辉,莲花童子哪吒,1999,actor2,drama,NA,男,NA
程皓枫,法医秦明,2016,actor4,drama,1976,男,40
程煜,悬崖,2012,actor3,drama,1957,男,55
迟重瑞,西游记续集,2000,actor3,drama,1952,男,48
崔景富,西游记续集,2000,actor4,drama,1951,男,49
大鹏,屌丝男士 第二季,2013,actor1,drama,1982,男,31
大鹏,屌丝男士 第一季,2012,actor1,drama,1982,男,30
大左,咱们结婚吧,2013,actor5,drama,1985,男,28
代旭,无证之罪,2017,actor4,drama,1989,男,28
邓超,甜蜜蜜,2007,actor2,drama,1979,男,28
邓超,幸福像花儿一样,2005,actor2,drama,1979,男,26
邓家佳,爱情公寓3,2012,actor3,drama,1983,女,29
邓家佳,无证之罪,2017,actor2,drama,1983,女,34
邓家佳,爱情公寓2,2011,actor5,drama,1983,女,28
邓婕,康熙微服私访记2,1999,actor2,drama,1957,女,42
邓婕,康熙微服私访记3,2000,actor2,drama,1957,女,43
邓伦,香蜜沉沉烬如霜,2018,actor2,drama,1992,男,26
迪丽热巴,三生三世十里桃花,2017,actor4,drama,1992,女,25
丁嘉丽,裸婚时代,2011,actor4,drama,1959,女,52
丁勇岱,生存之民工,2005,actor2,drama,1958,男,47
叮当,神雕侠侣,2006,actor5,drama,1990,男,16
董洁,金粉世家,2003,actor2,drama,1980,女,23
董洁,请你原谅我,2011,actor3,drama,1980,女,31
董晴,最好的我们,2016,actor4,drama,1988,女,28
董晓燕,不要和陌生人说话,2001,actor4,drama,1976,女,25
董璇,神探狄仁杰3,2008,actor3,drama,1982,女,26
杜淳,北京青年,2012,actor1,drama,1981,男,31
杜维瀚,匆匆那年,2014,actor4,drama,1985,男,29
杜雨露,雍正王朝,1999,actor4,drama,1941,男,58
杜源,玉观音,2003,actor4,drama,1957,男,46
段奕宏,我的团长我的团,2009,actor1,drama,1973,男,36
段奕宏,士兵突击,2006,actor3,drama,1973,男,33
范冰冰,少年包青天Ⅱ,2001,actor4,drama,1981,女,20
范近轮,恰同学少年,2007,actor4,drama,NA,男,NA
范明,炊事班的故事,2002,actor4,drama,1964,男,38
范志博,十八岁的天空,2002,actor3,drama,1983,女,19
方中信,芈月传,2015,actor3,drama,1963,男,52
方中信,离婚律师,2014,actor3,drama,1963,男,51
方中信,又见一帘幽梦,2007,actor1,drama,1963,男,44
房子斌,玉观音,2003,actor5,drama,NA,男,NA
冯恩鹤,潜伏,2009,actor5,drama,1948,男,61
冯绍峰,兰陵王,2013,actor1,drama,1978,男,35
冯绍峰,宫,2011,actor2,drama,1978,男,33
冯远征,不要和陌生人说话,2001,actor1,drama,1962,男,39
傅彪,大明宫词,2000,actor5,drama,1963,男,37
傅彪,血色浪漫,2004,actor4,drama,1963,男,41
傅晶,拿什么拯救你，我的爱人,2002,actor4,drama,1977,女,25
傅晶,落地，请开手机,2008,actor2,drama,1977,女,31
傅淼,大秦帝国之纵横,2013,actor3,drama,1980,女,33
富大龙,大秦帝国之纵横,2013,actor2,drama,1976,男,37
甘婷婷,落地，请开手机,2008,actor4,drama,1986,女,22
高宝宝,媳妇的美好时代,2009,actor4,drama,1964,女,45
高虎,天龙八部,2003,actor3,drama,1974,男,29
高兰村,康熙王朝,2001,actor3,drama,1956,男,45
高明,暗算,2006,actor2,drama,1942,男,64
高伟光,三生三世十里桃花,2017,actor5,drama,1983,男,34
高伟光,扶摇,2018,actor5,drama,1983,男,35
高亚麟,家有儿女,2005,actor2,drama,1972,男,33
高一玮,舞乐传奇,2013,actor3,drama,1972,男,41
高以翔,遇见王沥川,2016,actor1,drama,1984,男,32
高圆圆,天下第一,2005,actor5,drama,1979,女,26
高圆圆,大秦帝国之裂变,2009,actor5,drama,1979,女,30
高圆圆,咱们结婚吧,2013,actor1,drama,1979,女,34
高圆圆,倚天屠龙记,2003,actor3,drama,1979,女,24
巩汉林,东北一家人,2002,actor4,drama,1957,男,45
古巨基,情深深雨濛濛,2001,actor2,drama,1972,男,29
古巨基,还珠格格第三部,2003,actor2,drama,1972,男,31
古力娜扎,轩辕剑之天之痕,2012,actor5,drama,1992,女,20
谷智鑫,恰同学少年,2007,actor1,drama,1978,男,29
顾宝明,侠女闯天关,2000,actor3,drama,1950,男,50
关晓彤,甜蜜暴击,2018,actor2,drama,1997,女,21
归亚蕾,汉武大帝,2005,actor3,drama,1944,女,61
归亚蕾,橘子红了,2002,actor2,drama,1944,女,58
归亚蕾,红楼梦,2010,actor5,drama,1944,女,66
归亚蕾,大明宫词,2000,actor2,drama,1944,女,56
郭达,大宋提刑官,2005,actor5,drama,1955,男,50
郭东文,大明王朝1566,2007,actor5,drama,1968,男,39
郭广平,父母爱情,2014,actor4,drama,1971,男,43
郭晋安,天下第一,2005,actor2,drama,1964,男,41
