actor,actor.link,info,BirthYear,gender,age
朱佳煜,https://movie.douban.com/celebrity/1322800/,"<div class=""info"">
        
    <ul class="""">
<li>
            <span>性别</span>: 
        男
        </li>
    
        <li>
            <span>星座</span>: 
        摩羯座
        </li>
    
        <li>
            <span>出生日期</span>: 
        2005-12-30
        </li>
    
        <li>
            <span>出生地</span>: 
        中国
        </li>
    
        <li>
            <span>职业</span>: 
        演员
        </li>
    
    
    
    
    
    </ul>
</div>",2005,男,13
蔡志强,https://movie.douban.com/celebrity/1312161/,"<div class=""info"">
        
    <ul class="""">
<li>
            <span>性别</span>: 
        男
        </li>
    
    
        <li>
            <span>出生日期</span>: 
        2005-07-02
        </li>
    
        <li>
            <span>出生地</span>: 
        澳大利亚
        </li>
    
        <li>
            <span>职业</span>: 
        演员
        </li>
    
    
        <li>
            <span>更多中文名</span>: 
        宝贝，马修
        </li>
    
    
        <li>
            <span>imdb编号</span>: 
        <a href=""http://www.imdb.com/name/nm3021213"" target=""_blank"">nm3021213</a>
        </li>
    
    </ul>
</div>",2005,男,13
宋美慧,https://movie.douban.com/celebrity/1327532/,"<div class=""info"">
        
    <ul class="""">
<li>
            <span>性别</span>: 
        女
        </li>
    
    
    
    
        <li>
            <span>职业</span>: 
        演员
        </li>
    
    
    
    
    
    </ul>
</div>",2003,女,15
宋美曼,https://movie.douban.com/celebrity/1327533/,"<div class=""info"">
        
    <ul class="""">
<li>
            <span>性别</span>: 
        女
        </li>
    
    
    
    
        <li>
            <span>职业</span>: 
        演员
        </li>
    
    
    
    
    
    </ul>
</div>",2003,女,15
张子枫,https://movie.douban.com/celebrity/1274254/,"<div class=""info"">
        
    <ul class="""">
<li>
            <span>性别</span>: 
        女
        </li>
    
        <li>
            <span>星座</span>: 
        处女座
        </li>
    
        <li>
            <span>出生日期</span>: 
        2001-08-27
        </li>
    
        <li>
            <span>出生地</span>: 
        中国,河南,三门峡
        </li>
    
        <li>
            <span>职业</span>: 
        演员
        </li>
    
    
        <li>
            <span>更多中文名</span>: 
        子子(昵称)
        </li>
    
    
        <li>
            <span>imdb编号</span>: 
        <a href=""http://www.imdb.com/name/nm3988282"" target=""_blank"">nm3988282</a>
        </li>
    
    </ul>
</div>",2001,女,17
钟绍图,https://movie.douban.com/celebrity/1313356/,"<div class=""info"">
        
    <ul class="""">
<li>
            <span>性别</span>: 
        男
        </li>
    
        <li>
            <span>星座</span>: 
        天秤座
        </li>
    
        <li>
            <span>出生日期</span>: 
        2001-10-13
        </li>
    
        <li>
            <span>出生地</span>: 
        香港
        </li>
    
        <li>
            <span>职业</span>: 
        演员
        </li>
    
    
        <li>
            <span>更多中文名</span>: 
        鍾紹圖
        </li>
    
    
        <li>
            <span>imdb编号</span>: 
        <a href=""http://www.imdb.com/name/nm3385134"" target=""_blank"">nm3385134</a>
        </li>
    
    </ul>
</div>",2001,男,17
吴磊,https://movie.douban.com/celebrity/1276150/,"<div class=""info"">
        
    <ul class="""">
<li>
            <span>性别</span>: 
        男
        </li>
    
        <li>
            <span>星座</span>: 
        摩羯座
        </li>
    
        <li>
            <span>出生日期</span>: 
        1999-12-26
        </li>
    
        <li>
            <span>出生地</span>: 
        中国,上海
        </li>
    
        <li>
            <span>职业</span>: 
        演员 / 配音
        </li>
    
        <li>
            <span>更多外文名</span>: 
        Lei Wu
        </li>
    
    
    
        <li>
            <span>imdb编号</span>: 
        <a href=""http://www.imdb.com/name/nm5142253"" target=""_blank"">nm5142253</a>
        </li>
    
        <li>
            <span>官方网站</span>: 
        <a href=""http://weibo.com/u/2142058927"" target=""_blank"">weibo.com/u/2142058927</a>
        </li>
    </ul>
</div>",1999,男,19
李兰迪,https://movie.douban.com/celebrity/1330228/,"<div class=""info"">
        
    <ul class="""">
<li>
            <span>性别</span>: 
        女
        </li>
    
        <li>
            <span>星座</span>: 
        处女座
        </li>
    
        <li>
            <span>出生日期</span>: 
        1999-09-02
        </li>
    
        <li>
            <span>出生地</span>: 
        北京
        </li>
    
        <li>
            <span>职业</span>: 
        演员
        </li>
    
        <li>
            <span>更多外文名</span>: 
        Landy
        </li>
    
    
    
        <li>
            <span>imdb编号</span>: 
        <a href=""http://www.imdb.com/name/nm8461073"" target=""_blank"">nm8461073</a>
        </li>
    
        <li>
            <span>官方网站</span>: 
        <a href=""http://weibo.com/u/1265743747"" target=""_blank"">http://weibo.com/u/1265743747</a>
        </li>
    </ul>
</div>",1999,女,19
陈曼媛,https://movie.douban.com/celebrity/1242600/,"<div class=""info"">
        
    <ul class="""">
<li>
            <span>性别</span>: 
        女
        </li>
    
        <li>
            <span>星座</span>: 
        双鱼座
        </li>
    
        <li>
            <span>出生日期</span>: 
        1999-02-25
        </li>
    
        <li>
            <span>出生地</span>: 
        中国,北京
        </li>
    
        <li>
            <span>职业</span>: 
        演员
        </li>
    
    
    
    
        <li>
            <span>imdb编号</span>: 
        <a href=""http://www.imdb.com/name/nm2130864"" target=""_blank"">nm2130864</a>
        </li>
    
    </ul>
</div>",1999,女,19
董博文,https://movie.douban.com/celebrity/1275035/,"<div class=""info"">
        
    <ul class="""">
<li>
            <span>性别</span>: 
        男
        </li>
    
        <li>
            <span>星座</span>: 
        射手座
        </li>
    
        <li>
            <span>出生日期</span>: 
        1998-12-17
        </li>
    
        <li>
            <span>出生地</span>: 
        中国,北京
        </li>
    
        <li>
            <span>职业</span>: 
        演员
        </li>
    
        <li>
            <span>更多外文名</span>: 
        Denis
        </li>
    
        <li>
            <span>更多中文名</span>: 
        方枪枪(昵称) / 三脚猫(昵称) / 毛儿(昵称) / 猫儿(昵称)
        </li>
    
    
        <li>
            <span>imdb编号</span>: 
        <a href=""http://www.imdb.com/name/nm2106527"" target=""_blank"">nm2106527</a>
        </li>
    
    </ul>
</div>",1998,男,20
