actor,name,year,variable,type,BirthYear,gender,age
阿部宽,不能结婚的男人 結婚できない男,2006,actor1,drama,1964,男,42
阿部宽,龙樱 ドラゴン桜,2005,actor1,drama,1964,男,41
阿部宽,律政英雄 HERO,2001,actor5,drama,1964,男,37
阿部宽,夜叉 YASHA,2000,actor3,drama,1964,男,36
阿部宽,西洋古董洋果子店 アンティーク ?西洋骨董洋菓子店?,2001,actor4,drama,1964,男,37
阿部宽,圈套 トリック,2000,actor2,drama,1964,男,36
阿部力,花样男子 花より男子,2005,actor5,drama,1982,男,23
阿部力,东京女子图鉴 東京女子図鑑,2016,actor2,drama,1982,男,34
安田成美,深夜食堂2,2011,actor2,drama,1966,女,45
八千草薰,白夜行,2006,actor3,drama,1931,女,75
白石美帆,橙色岁月 オレンジデイズ,2004,actor5,drama,1978,女,26
柏原收史,夜叉 YASHA,2000,actor4,drama,1978,男,22
坂口健太郎,东京白日梦女 東京タラレバ娘,2017,actor4,drama,1991,男,26
坂口宪二,倒数第二次恋爱 最後から二番目の恋,2012,actor3,drama,1975,男,37
坂口宪二,冰上恋人 プライド,2004,actor3,drama,1975,男,29
板谷由夏,萤之光2 ホタルノヒカリ2,2010,actor3,drama,1975,女,35
半海一晃,不需要爱的夏天 愛なんていらねえよ、夏,2002,actor5,drama,1958,男,44
北村一辉,昼颜：工作日下午3点的恋人们 昼顔～平日午後3時の恋人たち～,2014,actor4,drama,1969,男,45
北村一辉,神探伽利略 ガリレオ,2007,actor3,drama,1969,男,38
北村总一朗,诈欺游戏 ライアーゲーム,2007,actor5,drama,1937,男,70
本仮屋唯佳,民王,2015,actor3,drama,1987,女,28
比嘉爱未,紧急救命 コード?ブルー -ドクターヘリ緊急救命-,2008,actor5,drama,1986,女,22
別所哲也,魔女的条件,1999,actor5,drama,1965,男,34
波冈一喜,火花,2016,actor2,drama,1978,男,38
波瑠,对不起青春 ごめんね青春！,2014,actor5,drama,1991,女,23
菜叶菜,火花,2016,actor4,drama,NA,女,NA
仓科加奈,我无法恋爱的理由 私が恋愛できない理由,2011,actor5,drama,1987,女,24
仓科加奈,母亲 Mother,2010,actor5,drama,1987,女,23
苍井优,料理仙姬 おせん,2008,actor1,drama,1985,女,23
草川拓弥,哥哥太爱我了怎么办 兄に愛されすぎて困ってます,2017,actor4,drama,1994,男,23
草村礼子,贤者之爱 賢者の愛,2016,actor5,drama,1944,女,72
柴崎幸,日本恐怖童话六部曲,1999,actor5,drama,1981,女,18
柴崎幸,神探伽利略 ガリレオ,2007,actor2,drama,1981,女,26
柴崎幸,橙色岁月 オレンジデイズ,2004,actor2,drama,1981,女,23
柴崎幸,从天而降的一亿颗星星 空から降る一億の星,2002,actor3,drama,1981,女,21
常盘贵子,漂流教室 ロング?ラブレター?漂流教室?,2002,actor1,drama,1972,女,30
常盘贵子,美丽人生 ビューティフルライフ,2000,actor2,drama,1972,女,28
成宫宽贵,日本派 Stand Up!!,2003,actor3,drama,1982,男,21
成宫宽贵,橙色岁月 オレンジデイズ,2004,actor3,drama,1982,男,22
城田优,SPEC SPEC?警視庁公安部公安第五課 未詳事件特別対策係事件簿?,2010,actor4,drama,1985,男,25
池内博之,美丽人生 ビューティフルライフ,2000,actor4,drama,1976,男,24
池胁千鹤,唇膏,1999,actor4,drama,1981,女,18
雛形あきこ,金田一少年事件簿3 金田一少年の事件簿 第3シリーズ,2001,actor4,drama,1978,女,23
川冈大次郎,继续,1999,actor4,drama,1978,男,21
大岛优子,东京白日梦女 東京タラレバ娘,2017,actor3,drama,1988,女,29
大岛优子,我无法恋爱的理由 私が恋愛できない理由,2011,actor3,drama,1988,女,23
