actor,name,year,variable,type,BirthYear,gender,age
安锡焕,我的女孩 ,2005,actor5,drama,1959,男,46
安锡焕,豪杰春香 ,2005,actor5,drama,1959,男,46
安在洪,"三流之路 , ",2017,actor3,drama,1986,男,31
安在旭,泡沫爱情  ,1999,actor1,drama,1971,男,28
安在旭,孪生兄妹  ,2000,actor1,drama,1971,男,29
安政勋,夏日香气 ,2003,actor5,drama,1969,男,34
边熙峰,匹诺曹 ,2014,actor5,drama,1942,男,72
卞耀汉,未生 ,2014,actor5,drama,1986,男,28
蔡琳,夏娃的诱惑  ,2000,actor2,drama,1979,女,21
蔡琳,达子的春天  ,2007,actor1,drama,1979,女,28
蔡贞安,咖啡王子1号店 1,2007,actor4,drama,1977,女,30
曹承佑,秘密森林  ,2017,actor1,drama,1980,男,37
曹政奭,哦我的鬼神大人   ,2015,actor2,drama,1980,男,35
车仁表,火花 ,2000,actor1,drama,1967,男,33
车胜元,最佳爱情  ,2011,actor1,drama,1970,男,41
车太贤,奔向阳光 ,1999,actor1,drama,1976,男,23
车太贤,制作人 ,2015,actor2,drama,1976,男,39
陈世妍,Doctor异乡人  ,2014,actor2,drama,1994,女,20
陈艺瑟,仁显王后的男人  ,2012,actor5,drama,1985,女,27
成东日,没关系，是爱情啊  ,2014,actor3,drama,1967,男,47
成东日,请回答1988  1988,2015,actor1,drama,1967,男,48
成东日,Live ,2018,actor4,drama,1967,男,51
成宥利,雪之女王  ,2006,actor2,drama,1981,女,25
池昌旭,治愈者 ,2014,actor1,drama,1987,男,27
池晟,"杀了我治愈我 , ",2015,actor1,drama,1977,男,38
池贤宇,仁显王后的男人  ,2012,actor2,drama,1984,男,28
池珍熙,大长今 ,2003,actor2,drama,1971,男,32
池珍熙,迷雾 ,2018,actor2,drama,1971,男,47
崔福岩,宫 ,2006,actor5,drama,1940,男,66
崔敏勇,生命花,2001,actor2,drama,NA,男,NA
崔胜铉,IRIS ,2009,actor3,drama,1987,男,22
崔始源,她很漂亮  ,2015,actor4,drama,1986,男,29
崔武成,请回答1988  1988,2015,actor5,drama,1968,男,47
崔宰诚,狗和狼的时间   ,2007,actor4,drama,1964,男,43
崔贞媛,传闻中的七公主  ,2006,actor2,drama,1981,女,25
崔贞允,阁楼男女  ,2003,actor3,drama,1977,女,26
崔振赫,"继承者们  ,    - ",2013,actor4,drama,1985,男,28
崔智友,冬日恋歌 ,2002,actor2,drama,1975,女,27
崔智友,美丽的日子  ,2001,actor2,drama,1975,女,26
崔智友,天国的阶梯  ,2003,actor1,drama,1975,女,28
丹尼斯·吴,魔女柔熙 ,2007,actor4,drama,1981,男,26
丁海寅,当你沉睡时   ,2017,actor4,drama,1988,男,29
丁海寅,经常请吃饭的漂亮姐姐     ,2018,actor2,drama,1988,男,30
丁海寅,机智牢房生活  ,2017,actor5,drama,1988,男,29
丁一宇,搞笑一家人  !,2006,actor4,drama,1987,男,19
丁一宇,49日 49,2011,actor1,drama,1987,男,24
丁一宇,拥抱太阳的月亮   ,2012,actor3,drama,1987,男,25
丁一宇,拜托小姐  ,2009,actor5,drama,1987,男,22
奉太奎,阁楼男女  ,2003,actor5,drama,1981,男,22
奉太奎,个人取向  ,2010,actor4,drama,1981,男,29
高斗心,我的大叔  ,2018,actor3,drama,1951,女,67
高俊,迷雾 ,2018,actor3,drama,1978,男,40
高俊熙,她很漂亮  ,2015,actor3,drama,1985,女,30
高圣熙,当你沉睡时   ,2017,actor5,drama,1990,女,27
高修,孪生兄妹  ,2000,actor3,drama,1978,男,22
高周元,传闻中的七公主  ,2006,actor4,drama,1981,男,25
高珠妍,雪之女王  ,2006,actor4,drama,1994,女,12
郭时旸,哦我的鬼神大人   ,2015,actor4,drama,1987,男,28
韩彩英,豪杰春香 ,2005,actor1,drama,1980,女,25
韩彩英,蓝色生死恋 ,2000,actor4,drama,1980,女,20
韩恩贞,明朗少女成功记  ,2002,actor3,drama,1980,女,22
韩恩贞,浪漫满屋 ,2004,actor4,drama,1980,女,24
韩佳人,魔女柔熙 ,2007,actor2,drama,1982,女,25
韩佳人,拥抱太阳的月亮   ,2012,actor1,drama,1982,女,30
韩孝周,W-两个世界 W,2016,actor2,drama,1987,女,29
韩孝周,一枝梅 ,2008,actor2,drama,1987,女,21
韩孝周,灿烂的遗产  ,2009,actor1,drama,1987,女,22
韩艺瑟,梦幻情侣  ,2006,actor2,drama,1981,女,25
韩在硕,玻璃鞋 ,2002,actor3,drama,1973,男,29
韩在硕,夏娃的诱惑  ,2000,actor3,drama,1973,男,27
韩振熙,情定大饭店 ,2001,actor5,drama,1949,男,52
韩正洙,风之画员  ,2008,actor3,drama,1973,男,35
韩智慧,夏日香气 ,2003,actor4,drama,1984,女,19
韩智慧,新娘十八岁 18,2004,actor2,drama,1984,女,20
韩智敏,屋塔房王世子  ,2012,actor2,drama,1982,女,30
何载永,美丽的日子  ,2001,actor5,drama,1952,男,49
何载永,天国的阶梯  ,2003,actor5,drama,1952,男,51
河智苑,秘密花园  ,2010,actor2,drama,1978,女,32
洪恩熙,红豆女之恋   ,2002,actor4,drama,1980,女,22
洪利娜,大长今 ,2003,actor4,drama,1968,女,35
洪忠敏,医道 ,1999,actor5,drama,NA,女,NA
黄灿盛,金秘书为何那样   ,2018,actor5,drama,1990,男,28
黄善熙,城市猎人 ,2011,actor5,drama,1986,女,25
黄秀贞,孪生兄妹  ,2000,actor4,drama,1972,女,28
黄秀贞,医道 ,1999,actor2,drama,1972,女,27
黄正音,"杀了我治愈我 , ",2015,actor2,drama,1985,女,30
黄正音,她很漂亮  ,2015,actor1,drama,1985,女,30
姜河那,未生 ,2014,actor4,drama,1990,男,24
姜其永,金秘书为何那样   ,2018,actor4,drama,1983,男,35
