actress,drama/movie,year,age,douban_score,role,leading,award,nomination,source
海清,红海行动,2018,40,8.3,actress,yes,,第34届大众电影百花奖 最佳女主角(提名),
海清,深夜食堂,2017,39,2.8,actress,yes,,,
海清,麻烦家族,2017,39,4.5,actress,yes,,,
海清,小别离,2016,38,7.8,actress,yes,,第23届上海电视节白玉兰奖 电视连续剧 最佳女主角(提名),
海清,女不强大天不容,2016,38,6.4,actress,yes,,,
海清,大猫儿追爱记,2015,37,5,actress,yes,,,
海清,二炮手,2014,36,6.7,actress,yes,,,
海清,怪咖啡,2014,36,5.7,actress,no,,,
海清,一仆二主,2014,36,7.3,actress,no,,,
海清,抹布女也有春天,2013,35,6.8,actress,yes,,,
海清,北京遇上西雅图,2013,35,7.3,actress,yes,,第32届大众电影百花奖 最佳女配角(提名)；第14届华语电影传媒大奖 最佳女配角(提名),
海清,男人如衣服,2012,34,5,actress,no,,,
海清,后厨,2012,34,6.2,actress,yes,,,
海清,心术,2012,34,8.1,actress,yes,,第19届上海电视节白玉兰奖 电视连续剧 最佳女演员(提名),
海清,失恋33天,2011,33,7.2,actress,no,,,
海清,请你原谅我,2011,33,8.7,actress,yes,,,
海清,下一个奇迹,2011,33,,actress,yes,,,
海清,赵氏孤儿,2010,32,5.9,actress,yes,,,
海清,追捕,2010,32,5.5,actress,yes,,,
海清,黎明之前,2010,32,9.2,actress,no,,,
海清,鲜花朵朵,2009,31,6.2,actress,yes,,,
海清,媳妇的美好时代,2009,31,8.1,actress,yes,第28届中国电视剧飞天奖 优秀女演员；第25届中国电视金鹰奖观众喜爱的电视剧女演员奖,第16届上海电视节白玉兰奖 电视连续剧 最佳女演员(提名),网易娱乐；广州日报
海清,蜗居,2009,31,7.9,actress,yes,,第16届上海电视节白玉兰奖 电视连续剧 最佳女演员(提名),新浪娱乐
海清,王贵与安娜,2009,31,8,actress,yes,,,
海清,落地，请开手机,2008,30,7.6,actress,no,,,
海清,何处是我家,2008,30,6.6,actress,yes,,,
海清,双面胶,2007,29,7.9,actress,yes,,,
海清,家事如天,2007,29,8.2,actress,yes,,,
海清,成都，今夜请将我遗忘,2006,28,7.4,actress,no,,,
海清,海之门,2006,28,7,actress,yes,,,
海清,不能失去你,2006,28,8.5,actress,yes,,,
海清,凌云壮志包青天,2005,27,5.8,actress,no,,,
海清,我是一个兵,2005,27,,actress,yes,,,
