actor,name,year,variable,type,BirthYear,gender,age
阿尔·帕西诺,天使在美国 Angels in America,2003,actor1,drama,1940,男,63
阿丽克西斯·布莱德尔,吉尔莫女孩 第一季 Gilmore Girls Season 1,2000,actor1,drama,1981,女,19
阿丽克西斯·布莱德尔,使女的故事 第一季 The Handmaid's Tale Season 1,2017,actor4,drama,1981,女,36
阿芮尔·温特,摩登家庭 第一季 Modern Family Season 1,2009,actor1,drama,1998,女,11
埃迪·法可,黑道家族 第一季 The Sopranos Season 1,1999,actor3,drama,1963,女,36
埃文·蕾切尔·伍德,西部世界 第一季 Westworld Season 1,2016,actor1,drama,1987,女,29
埃文·蕾切尔·伍德,西部世界 第二季 Westworld Season 2,2018,actor1,drama,1987,女,31
艾德·奥尼尔,摩登家庭 第一季 Modern Family Season 1,2009,actor2,drama,1946,男,63
艾德·哈里斯,西部世界 第一季 Westworld Season 1,2016,actor3,drama,1950,男,66
艾利克斯·布诺斯町,了不起的麦瑟尔夫人 第一季 The Marvelous Mrs. Maisel Season 1,2017,actor2,drama,1971,女,46
艾莉森·托尔曼,冰血暴 第一季 Fargo Season 1,2014,actor2,drama,1981,女,33
艾伦·旁派,实习医生格蕾 第一季 Grey's Anatomy Season 1,2005,actor1,drama,1969,女,36
艾米·阿克,天赋异禀 第二季 The Gifted Season 2,2018,actor1,drama,1976,女,42
艾米·阿克,天赋异禀 第一季 The Gifted Season 1,2017,actor2,drama,1976,女,41
艾米莉·莫迪默,新闻编辑室 第一季 The Newsroom Season 1,2012,actor2,drama,1971,女,41
艾米莉亚·克拉克,权力的游戏  第二季 Game of Thrones Season 2,2012,actor2,drama,1986,女,26
艾米莉亚·克拉克,权力的游戏 第三季 Game of Thrones Season 3,2013,actor2,drama,1986,女,27
艾米莉亚·克拉克,权力的游戏 第六季 Game of Thrones Season 6,2016,actor2,drama,1986,女,30
艾米莉亚·克拉克,权力的游戏 第四季 Game of Thrones Season 4,2014,actor4,drama,1986,女,28
艾米莉亚·克拉克,权力的游戏 第五季 Game of Thrones Season 5,2015,actor1,drama,1986,女,29
艾米莉亚·克拉克,权力的游戏 第七季 Game of Thrones Season 7,2017,actor1,drama,1986,女,31
爱琳·丹尼尔斯,拉字至上  第一季 The L Word Season 1,2004,actor2,drama,1972,女,32
安东尼·霍普金斯,西部世界 第一季 Westworld Season 1,2016,actor2,drama,1937,男,79
安娜·托芙,危机边缘 第一季 Fringe Season 1,2008,actor1,drama,1979,女,29
保罗·韦斯利,吸血鬼日记 第一季 The Vampire Diaries Season 1,2009,actor2,drama,1982,男,27
保罗·韦斯利,吸血鬼日记  第二季 The Vampire Diaries Season 2,2010,actor2,drama,1982,男,28
鲍勃·奥登科克,风骚律师 第一季 Better Call Saul Season 1,2015,actor1,drama,1962,男,53
鲍勃·奥登科克,风骚律师 第四季 Better Call Saul Season 4,2018,actor1,drama,1962,男,56
贝丝·比厄,破产姐妹 第一季 2 Broke Girls Season 1,2011,actor2,drama,1985,女,26
贝丝·比厄,破产姐妹 第三季 2 Broke Girls Season 3,2013,actor2,drama,1985,女,28
贝丝·比厄,破产姐妹 第二季 2 Broke Girls Season 2,2012,actor2,drama,1985,女,27
比尔·帕特森,锦绣佳人 Wives and Daughters,1999,actor2,drama,1945,男,54
比利·鲍伯·松顿,冰血暴 第一季 Fargo Season 1,2014,actor1,drama,1955,男,59
彼得·克劳斯,六尺之下 第一季 Six Feet Under Season 1,2001,actor1,drama,1965,男,36
彼特·丁拉基,权力的游戏 第七季 Game of Thrones Season 7,2017,actor3,drama,1969,男,48
彼特·丁拉基,权力的游戏 第六季 Game of Thrones Season 6,2016,actor5,drama,1969,男,47
彼特·丁拉基,权力的游戏 第四季 Game of Thrones Season 4,2014,actor1,drama,1969,男,45
彼特·丁拉基,权力的游戏 第五季 Game of Thrones Season 5,2015,actor2,drama,1969,男,46
波西亚·德·罗西,发展受阻 第一季 Arrested Development Season 1,2003,actor2,drama,1973,女,30
波伊德·霍布鲁克,毒枭 第一季 Narcos Season 1,2015,actor4,drama,1981,男,34
布莱恩·科兰斯顿,绝命毒师  第三季 Breaking Bad Season 3,2010,actor1,drama,1956,男,54
布莱恩·科兰斯顿,绝命毒师  第五季 Breaking Bad Season 5,2012,actor1,drama,1956,男,56
布莱恩·科兰斯顿,绝命毒师 第一季 Breaking Bad Season 1,2008,actor1,drama,1956,男,52
布蕾克·莱弗利,绯闻女孩 第一季 Gossip Girl Season 1,2007,actor1,drama,1987,女,20
布蕾克·莱弗利,绯闻女孩  第二季 Gossip Girl Season 2,2008,actor1,drama,1987,女,21
查尔斯·丹斯,权力的游戏 第一季 Game of Thrones Season 1,2011,actor2,drama,1946,男,65
查理·辛,好汉两个半  第一季 Two and a Half Men Season 1,2003,actor1,drama,1965,男,38
大卫·哈伯,怪奇物语 第一季 Stranger Things Season 1,2016,actor2,drama,1975,男,41
戴米恩·路易斯,兄弟连 Band of Brothers,2001,actor1,drama,1971,男,30
迪伦·麦克德莫特,美国恐怖故事：谋杀屋 第一季 American Horror Story: Murder House Season 1,2011,actor2,drama,1961,男,50
蒂姆·罗斯,千谎百计 第一季 Lie to Me Season 1,2009,actor1,drama,1961,男,48
多米尼克·珀塞尔,越狱  第四季 Prison Break Season 4,2008,actor2,drama,1970,男,38
多米尼克·珀塞尔,越狱 第一季 Prison Break Season 1,2005,actor2,drama,1970,男,35
多米尼克·珀塞尔,越狱  第二季 Prison Break Season 2,2006,actor2,drama,1970,男,36
多米尼克·珀塞尔,越狱  第三季 Prison Break Season 3,2007,actor2,drama,1970,男,37
多米尼克·威斯特,火线 第一季 The Wire Season 1,2002,actor1,drama,1969,男,33
菲丽西提·霍夫曼,绝望主妇 第一季 Desperate Housewives Season 1,2004,actor2,drama,1962,女,42
菲丽西提·霍夫曼,绝望主妇 第三季 Desperate Housewives Season 3,2006,actor2,drama,1962,女,44
弗兰西丝卡·安妮丝,锦绣佳人 Wives and Daughters,1999,actor3,drama,1944,女,55
弗兰西斯·麦克多蒙德,奥丽芙·基特里奇 Olive Kitteridge,2014,actor1,drama,1957,女,57
葛尔·哈罗德,同志亦凡人 第一季 Queer as Folk Season 1,2000,actor2,drama,1969,男,31
葛尔·哈罗德,同志亦凡人 第二季 Queer as Folk Season 2,2002,actor1,drama,1969,男,33
古古·姆巴塔-劳,黑镜 第三季 Black Mirror Season 3,2016,actor1,drama,1983,女,33
哈尔·斯帕克斯,同志亦凡人 第二季 Queer as Folk Season 2,2002,actor3,drama,1969,男,33
